Wall time,Step,Value
1558966075,200,0.004305474
1558966138,400,0.001268556
1558966208,600,0.000710214
1558966274,800,0.000602924
1558966342,1000,0.000650164
1558966410,1200,0.000857986
1558966481,1400,0.001044346
1558966548,1600,0.000878534
1558966616,1800,0.000312939
1558966687,2000,0.000334517
1558966757,2200,0.000314031
1558966833,2400,0.000431777
1558966906,2600,0.000552179
1558966974,2800,0.000486168
1558969635,3000,0.000259762
1558969692,3200,0.000529844
1558969750,3400,0.000581859
1558969813,3600,0.001173137
1558969877,3800,0.001598299
1558969940,4000,0.000164281
1558970005,4200,0.000164281
1558970071,4400,0.000757948
1558970141,4600,0.000764311
1558970211,4800,0.000337916
1558970284,5000,0.000360042
1558970357,5200,0.000465687
1558970430,5400,0.000337107
1558970502,5600,0.001717048
1558970569,5800,0.000476841
1558970637,6000,0.000441056
1558970709,6200,0.000253398
1558970781,6400,0.000121798
1558970851,6600,0.000787527
1558970922,6800,0.000359141
1558970991,7000,0.000679863
1558971062,7200,0.000497024
1558971135,7400,8.61E-05
1558971207,7600,0.000220725
1558971278,7800,0.000220725
1558971350,8000,0.001172867
1558971421,8200,0.001708482
1558971492,8400,0.000663779
1558971560,8600,0.000630633
1558971625,8800,0.000591805
1558971693,9000,0.000176985
1558971760,9200,0.000639414
1558971828,9400,0.000908259
1558971899,9600,0.000347704
1558971969,9800,0.000604502
1558972042,10000,0.00064799
